objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll040,mmc_cor_per_1998_doc013_fol003v.jpg,,,mmc_cor_per_1998_doc013_fol003v,,1998-09-24,Carta manuscrita enviada por Juan Liscano a MMC,,Caracas,,,,,,image/jpeg,,,
coll041,mmc_cor_per_1999_doc004.jpg,,,mmc_cor_per_1999_doc004,,1999-07-05,Nota manuscrita enviada por Thiago de Mello a MMC,gratitude_for_magazine,,,,,,,image/jpeg,,,
coll042,mmc_cor_per_1999_doc008.jpg,,,mmc_cor_per_1999_doc008,,1999-11-20,Carta manuscrita enviada por Thiago de Mello a MMC,submission,,,,,,,image/jpeg,,,
coll043,mmc_cor_per_1999_doc011_fol001r.jpg,,,mmc_cor_per_1999_doc011_fol001r,,,Tarjeta manuscrita enviada por Oscar Domínguez a MMC,other,Bogotá,,,,,,image/jpeg,,,
coll044,mmc_cor_per_2000_doc002.jpg,,,mmc_cor_per_2000_doc002,,2000-04-25,Carta manuscrita enviada por Estefanía Samper y Simón Patricio Samper a MMC,visit,,,,,,,image/jpeg,,,
coll045,mmc_cor_per_2001_doc003_fol001v.jpg,,,mmc_cor_per_2001_doc003_fol001v,,2001-07-01,Carta mecanografiada enviada por MMC a Raúl Mellado,submission,,,,,,,image/jpeg,,,
coll046,mmc_cor_per_2001_doc009.jpg,,,mmc_cor_per_2001_doc009,,2001-09-08,Carta mecanografiada enviada por J. Eduardo Jaramillo-Zuluaga a MMC,other,Granville,,,,,,image/jpeg,,,
coll047,mmc_cor_per_2001_doc011.jpg,,,mmc_cor_per_2001_doc011,,2001-10-10,Nota mecanografiada enviada por MMC a Francisco Pérez González,other,,,,,,,image/jpeg,,,
coll048,mmc_cor_per_2002_doc008.jpg,,,mmc_cor_per_2002_doc008,,,Correo electrónico enviado por Mónica Gontovnik a MMC y su respuesta en una nota manuscrita,other,,,,,,,image/jpeg,,,
coll049,mmc_cor_per_2002_doc009.jpg,,,mmc_cor_per_2002_doc009,,2002-06-11,Correo electrónico enviado por  Francisco José Cruz a MMC y su respuesta en un mensaje manuscrito,compliments_cps; other,,,,,,,image/jpeg,,,
coll050,mmc_cor_per_2002_doc011.jpg,,,mmc_cor_per_2002_doc011,,2002-06-20,Correo electrónico enviado por Beatriz Miramón a MMC y su respuesta en un mensaje manuscrito,compliments_cps,,,,,,,image/jpeg,,,
coll051,mmc_cor_per_2002_doc014_fol001v.jpg,,,mmc_cor_per_2002_doc014_fol001v,,2002-06-20,Carta mecanografiada enviada por MMC a Fabio Becerra Ruiz,submission; other,Bogotá,,,,,,image/jpeg,,,
coll052,mmc_cor_per_2003_doc010_fol002v.jpg,,,mmc_cor_per_2003_doc010_fol002v,,2003-02-05, Carta mecanografiada enviada por MMC a Eduardo M. Rueda Bernal,submission; other,Bogotá,,,,,,image/jpeg,,,
coll053,mmc_cor_per_sf_doc010.jpg,,,mmc_cor_per_sf_doc010,,,Nota manuscrita enviada por Julio Ortega a MMC,other,Providencia,,,,,,image/jpeg,,,
coll054,mmc_cor_per_sf_doc022a.jpg,,,mmc_cor_per_sf_doc022a,,,Carta mecanografiada enviada por Álvaro de la Roche a MMC,other,Bogotá,,,,,,image/jpeg,,,
coll055,mmc_cor_per_sf_doc024.jpg,,,mmc_cor_per_sf_doc024,,,Nota manuscrita enviada por Vicente Gerbasi a MMC,compliments_cps,,,,,,,image/jpeg,,,
coll056,mmc_cor_per_sf_doc036_fol001r.jpg,,,mmc_cor_per_sf_doc036_fol001r,,,Carta mecanografiada enviada por Efraín Rodríguez a MMC,other,,,,,,,image/jpeg,,,
coll057,mmc_cor_per_sf_doc036_fol002r.jpg,,,mmc_cor_per_sf_doc036_fol002r,,,Carta mecanografiada enviada por Efraín Rodríguez a MMC,other,,,,,,,image/jpeg,,,
coll058,mmc_cor_per_sf_exp002_doc008_fol002r.jpg,,,mmc_cor_per_sf_exp002_doc008_fol002r,,,Tarjeta manuscrita enviada por Belisario Betancur a MMC,submission,,,,,,,image/jpeg,,,
